name;bundesland;kreis;grundsteuer_a;grundsteuer_b;gewerbesteuer;vorjahr_b;datenstand;quellenname;quellen_url
Voerde (Niederrhein);Nordrhein-Westfalen;;300;690;470;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Wesel;Nordrhein-Westfalen;;265;479;448;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Xanten;Nordrhein-Westfalen;;340;650;475;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Bonn;Nordrhein-Westfalen;;340;680;490;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Köln;Nordrhein-Westfalen;;165;515;475;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Leverkusen;Nordrhein-Westfalen;;375;750;250;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Aachen;Nordrhein-Westfalen;;305;525;475;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Alsdorf;Nordrhein-Westfalen;;437;695;495;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Baesweiler;Nordrhein-Westfalen;;270;460;440;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Eschweiler;Nordrhein-Westfalen;;310;520;490;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Herzogenrath;Nordrhein-Westfalen;;325;510;485;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Monschau;Nordrhein-Westfalen;;450;695;495;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Roetgen;Nordrhein-Westfalen;;370;660;530;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Simmerath;Nordrhein-Westfalen;;350;490;445;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Stolberg (Rhld.);Nordrhein-Westfalen;;495;595;495;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Würselen;Nordrhein-Westfalen;;437;575;495;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Aldenhoven;Nordrhein-Westfalen;;440;820;476;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
Düren;Nordrhein-Westfalen;;370;590;450;;2022;Statistische Ämter des Bundes und der Länder – Hebesätze der Realsteuern 2022;https://www.statistikportal.de/de/veroeffentlichungen/hebesaetze-der-realsteuern-deutschland
